,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
26,2012-02-07,34499546.7743842,33526893.491145793,36522411.28421716,34499546.7743842,34499546.7743842,605379.0353024339,605379.0353024339,605379.0353024339,647695.6421781989,647695.6421781989,647695.6421781989,-42316.60687576499,-42316.60687576499,-42316.60687576499,0.0,0.0,0.0,35104925.80968663
27,2012-02-08,34485582.63689686,33669256.806895934,36539646.239245445,34485582.63689686,34485582.63689686,617348.496108139,617348.496108139,617348.496108139,638617.2151337272,638617.2151337272,638617.2151337272,-21268.719025588034,-21268.719025588034,-21268.719025588034,0.0,0.0,0.0,35102931.133005
28,2012-02-09,34471618.49940953,33647045.281445704,36665078.39242384,34471618.49940953,34471618.49940953,649177.2858738345,649177.2858738345,649177.2858738345,648037.5147050618,648037.5147050618,648037.5147050618,1139.7711687728045,1139.7711687728045,1139.7711687728045,0.0,0.0,0.0,35120795.785283364
29,2012-02-10,34457654.36192219,33675563.34209202,36599209.35367182,34457654.36192219,34457654.36192219,670027.8502997253,670027.8502997253,670027.8502997253,645406.8827371106,645406.8827371106,645406.8827371106,24620.96756261466,24620.96756261466,24620.96756261466,0.0,0.0,0.0,35127682.21222191
30,2012-02-13,34415761.94946018,33736445.767845035,36723473.781812124,34415761.94946018,34415761.94946018,738997.6821058615,738997.6821058615,738997.6821058615,641098.2329868022,641098.2329868022,641098.2329868022,97899.44911905925,97899.44911905925,97899.44911905925,0.0,0.0,0.0,35154759.63156604
31,2012-02-14,34401797.81197284,33710977.0498977,36613918.82950487,34401797.81197284,34401797.81197284,769584.755822852,769584.755822852,769584.755822852,647695.6421784568,647695.6421784568,647695.6421784568,121889.11364439526,121889.11364439526,121889.11364439526,0.0,0.0,0.0,35171382.567795694
32,2012-02-15,34387833.674485505,33651364.718238324,36659652.27330852,34387833.674485505,34387833.674485505,783531.3339299416,783531.3339299416,783531.3339299416,638617.2151337289,638617.2151337289,638617.2151337289,144914.11879621283,144914.11879621283,144914.11879621283,0.0,0.0,0.0,35171365.008415446
33,2012-02-16,34373869.53699817,33628739.07987923,36586596.65527999,34373869.53699817,34373869.53699817,814553.6829146676,814553.6829146676,814553.6829146676,648037.5147048146,648037.5147048146,648037.5147048146,166516.168209853,166516.168209853,166516.168209853,0.0,0.0,0.0,35188423.219912834
34,2012-02-17,34359905.39951083,33707071.67277993,36625831.67255874,34359905.39951083,34359905.39951083,831652.9031760931,831652.9031760931,831652.9031760931,645406.8827371419,645406.8827371419,645406.8827371419,186246.0204389512,186246.0204389512,186246.0204389512,0.0,0.0,0.0,35191558.30268692
35,2012-02-20,34318012.98704882,33838477.87496337,36744268.45623818,34318012.98704882,34318012.98704882,871181.7026423357,871181.7026423357,871181.7026423357,641098.2329867651,641098.2329867651,641098.2329867651,230083.4696555706,230083.4696555706,230083.4696555706,0.0,0.0,0.0,35189194.689691156
